Year,Month,Vegetable,Quantity_Sold,Growth,Percentage
2017,7,Tomato,533.8,580.09,5.32
2017,8,Tomato,485.45,400.84,-9.06
2017,9,Tomato,492.28,504.17,1.41
2017,10,Tomato,520.32,600.81,5.7
2017,11,Tomato,537.28,500.48,3.26
2017,12,Tomato,507.45,446.86,-5.55
2018,1,Tomato,479.27,462.41,-5.55
2018,2,Tomato,489.8,499.46,2.2
2018,3,Tomato,520.66,458.24,6.3
2018,4,Tomato,508.75,548.38,-2.29
2018,5,Tomato,541.99,523.13,6.53
2018,6,Tomato,535.86,542.9,-1.13
2018,7,Tomato,510.18,601.17,-4.79
2018,8,Tomato,491.87,395.2,-3.59
2018,9,Tomato,539.64,488.74,9.71
2018,10,Tomato,563.17,452.95,4.36
2018,11,Tomato,592.27,636.52,5.17
2018,12,Tomato,615.73,562.78,3.96
2019,1,Tomato,575.25,566.63,-6.57
2019,2,Tomato,599.1,670.19,4.15
2019,3,Tomato,603.86,533.39,0.79
2019,4,Tomato,643.69,715.96,6.6
2019,5,Tomato,610.52,509.54,-5.15
2019,6,Tomato,612.81,725.46,0.38
2019,7,Tomato,633.03,602.84,3.3
2019,8,Tomato,597.81,710.98,-5.56
2019,9,Tomato,627.46,502.71,4.96
2019,10,Tomato,666.51,649.12,6.22
2019,11,Tomato,629.57,698.83,-5.54
2019,12,Tomato,575.74,571.6,-8.55
2020,1,Tomato,625.1,516.13,8.57
2020,2,Tomato,588.74,533.32,-5.82
2020,3,Tomato,615.07,670.23,4.47
2020,4,Tomato,557.45,528.48,-9.37
2020,5,Tomato,513.68,556.48,-7.85
2020,6,Tomato,537.53,446.34,4.64
2020,7,Tomato,525.5,583.41,-2.24
2020,8,Tomato,564.02,494.73,7.33
2020,9,Tomato,619.14,590.74,9.77
2020,10,Tomato,646.12,708.43,4.36
2020,11,Tomato,602.03,659.88,-6.82
2020,12,Tomato,599.25,704.6,-0.46
2021,1,Tomato,632.54,551.76,5.56
2021,2,Tomato,590.47,504.62,-6.65
2021,3,Tomato,542.44,503.69,-8.14
2021,4,Tomato,571.84,656.75,5.42
2021,5,Tomato,560.81,475.64,-1.93
2021,6,Tomato,546.53,579.31,-2.55
2021,7,Tomato,530.21,496.34,-2.99
2021,8,Tomato,573.98,613.63,8.25
2021,9,Tomato,596.19,559.05,3.87
2021,10,Tomato,542.17,447.22,-9.06
2021,11,Tomato,515.16,582.49,-4.98
2021,12,Tomato,529.58,582.56,2.8
2022,1,Tomato,515.77,550.25,-2.61
2022,2,Tomato,501.08,409.29,-2.85
2022,3,Tomato,504.7,434.84,0.72
2022,4,Tomato,503.49,519.1,-0.24
2022,5,Tomato,524.32,487.31,4.14
2022,6,Tomato,488.87,443.91,-6.76
2022,7,Tomato,535.84,478.36,9.61
2022,8,Tomato,531.7,596.29,-0.77
2022,9,Tomato,573.65,648.26,7.89
2022,10,Tomato,620.74,562.79,8.21
2022,11,Tomato,672.79,780.44,8.38
2022,12,Tomato,629.77,565.72,-6.39
2023,1,Tomato,681.51,765.05,8.22
2023,2,Tomato,633.28,688.94,-7.08
2023,3,Tomato,622.9,557.04,-1.64
2023,4,Tomato,668.09,789.88,7.26
2023,5,Tomato,662.8,586.29,-0.79
2023,6,Tomato,708.49,772.67,6.89
2023,7,Tomato,721.66,653.86,1.86
2023,8,Tomato,682.59,663.94,-5.41
2023,9,Tomato,658.22,763.36,-3.57
2023,10,Tomato,642.03,525.96,-2.46
2023,11,Tomato,669.28,571.37,4.24
2023,12,Tomato,733.6,713.38,9.61
2024,1,Tomato,718.93,633.21,-2.0
2024,2,Tomato,679.66,706.99,-5.46
2024,3,Tomato,633.99,657.91,-6.72
2024,4,Tomato,602.26,676.12,-5.0
2024,5,Tomato,644.7,755.44,7.05
2024,6,Tomato,691.91,596.06,7.32
2024,7,Tomato,697.42,732.39,0.8
2024,8,Tomato,734.61,855.82,5.33
2024,9,Tomato,674.83,779.65,-8.14
2024,10,Tomato,699.51,575.49,3.66
2024,11,Tomato,701.08,829.7,0.22
2024,12,Tomato,757.25,715.53,8.01
2013,1,Potato,879.25,986.2,3.08
2013,2,Potato,841.2,683.75,-4.33
2013,3,Potato,922.44,912.46,9.66
2013,4,Potato,831.03,995.19,-9.91
2013,5,Potato,872.56,719.07,5.0
2013,6,Potato,802.44,829.68,-8.04
2013,7,Potato,854.69,710.26,6.51
2013,8,Potato,917.36,868.31,7.33
2013,9,Potato,986.17,806.33,7.5
2013,10,Potato,990.49,1157.56,0.44
2013,11,Potato,916.04,1096.85,-7.52
2013,12,Potato,835.3,970.18,-8.81
2014,1,Potato,754.04,750.2,-9.73
2014,2,Potato,680.27,579.03,-9.78
2014,3,Potato,660.42,744.02,-2.92
2014,4,Potato,695.89,747.32,5.37
2014,5,Potato,655.68,632.92,-5.78
2014,6,Potato,619.3,738.86,-5.55
2014,7,Potato,602.41,699.83,-2.73
2014,8,Potato,635.19,728.12,5.44
2014,9,Potato,666.25,795.54,4.89
2014,10,Potato,712.05,760.95,6.87
2014,11,Potato,731.24,614.68,2.7
2014,12,Potato,692.61,595.98,-5.28
2015,1,Potato,673.9,784.47,-2.7
2015,2,Potato,737.26,854.87,9.4
2015,3,Potato,696.11,597.65,-5.58
2015,4,Potato,755.79,761.72,8.57
2015,5,Potato,690.41,768.0,-8.65
2015,6,Potato,679.65,741.6,-1.56
2015,7,Potato,673.92,590.61,-0.84
2015,8,Potato,696.03,788.53,3.28
2015,9,Potato,751.65,743.26,7.99
2015,10,Potato,804.33,648.03,7.01
2015,11,Potato,788.38,633.77,-1.98
2015,12,Potato,766.91,828.35,-2.72
2016,1,Potato,840.32,988.77,9.57
2016,2,Potato,831.61,979.52,-1.04
2016,3,Potato,834.2,882.49,0.31
2016,4,Potato,769.07,785.02,-7.81
2016,5,Potato,751.02,807.25,-2.35
2016,6,Potato,754.4,731.29,0.45
2016,7,Potato,713.36,573.65,-5.44
2016,8,Potato,685.92,772.31,-3.85
2016,9,Potato,676.56,549.01,-1.36
2016,10,Potato,649.95,690.95,-3.93
2016,11,Potato,689.05,591.56,6.02
2016,12,Potato,654.25,675.16,-5.05
2017,1,Potato,599.88,626.08,-8.31
2017,2,Potato,625.08,513.98,4.2
2017,3,Potato,605.07,545.99,-3.2
2017,4,Potato,596.9,648.83,-1.35
2017,5,Potato,543.19,596.9,-9.0
2017,6,Potato,576.67,610.79,6.16
2017,7,Potato,624.96,644.57,8.37
2017,8,Potato,564.99,598.52,-9.6
2017,9,Potato,537.11,630.61,-4.93
2017,10,Potato,571.82,463.81,6.46
2017,11,Potato,625.54,738.63,9.4
2017,12,Potato,676.54,689.62,8.15
2018,1,Potato,641.94,743.12,-5.12
2018,2,Potato,704.95,656.58,9.82
2018,3,Potato,670.99,564.96,-4.82
2018,4,Potato,607.27,653.21,-9.5
2018,5,Potato,616.91,534.25,1.59
2018,6,Potato,659.32,598.29,6.88
2018,7,Potato,701.85,586.47,6.45
2018,8,Potato,656.56,531.42,-6.45
2018,9,Potato,640.21,746.57,-2.49
2018,10,Potato,665.29,751.62,3.92
2018,11,Potato,663.53,547.34,-0.26
2018,12,Potato,691.07,736.87,4.15
2019,1,Potato,738.44,598.54,6.85
2019,2,Potato,766.52,804.7,3.8
2019,3,Potato,747.21,642.44,-2.52
2019,4,Potato,720.95,618.01,-3.51
2019,5,Potato,726.78,860.36,0.81
2019,6,Potato,731.06,857.02,0.59
2019,7,Potato,714.02,667.85,-2.33
2019,8,Potato,754.25,819.13,5.63
2019,9,Potato,771.21,752.74,2.25
2019,10,Potato,789.36,764.54,2.35
2019,11,Potato,720.37,637.84,-8.74
2019,12,Potato,752.71,607.15,4.49
2020,1,Potato,772.45,622.08,2.62
2020,2,Potato,790.83,856.96,2.38
2020,3,Potato,839.06,840.56,6.1
2020,4,Potato,881.96,819.55,5.11
2020,5,Potato,911.38,801.74,3.34
2020,6,Potato,920.47,986.43,1.0
2020,7,Potato,872.27,1032.51,-5.24
2020,8,Potato,870.05,956.23,-0.26
2020,9,Potato,839.97,949.69,-3.46
2020,10,Potato,757.9,657.96,-9.77
2020,11,Potato,715.71,576.63,-5.57
2020,12,Potato,716.02,586.73,0.04
2021,1,Potato,761.75,617.79,6.39
2021,2,Potato,713.55,657.51,-6.33
2021,3,Potato,772.96,860.81,8.33
2021,4,Potato,749.84,750.37,-2.99
2021,5,Potato,678.42,581.38,-9.52
2021,6,Potato,734.86,661.97,8.32
2021,7,Potato,788.16,666.03,7.25
2021,8,Potato,772.04,839.04,-2.04
2021,9,Potato,750.72,829.23,-2.76
2021,10,Potato,695.28,763.02,-7.38
2021,11,Potato,660.78,670.9,-4.96
2021,12,Potato,679.39,809.78,2.82
2022,1,Potato,633.17,669.23,-6.8
2022,2,Potato,612.14,558.84,-3.32
2022,3,Potato,670.03,755.48,9.46
2022,4,Potato,706.46,578.12,5.44
2022,5,Potato,701.58,707.07,-0.69
2022,6,Potato,739.93,812.02,5.47
2022,7,Potato,788.89,906.37,6.62
2022,8,Potato,725.77,794.29,-8.0
2022,9,Potato,734.06,785.11,1.14
2022,10,Potato,752.67,722.32,2.53
2022,11,Potato,702.19,606.02,-6.71
2022,12,Potato,708.14,653.22,0.85
2023,1,Potato,679.75,694.7,-4.01
2023,2,Potato,711.5,608.05,4.67
2023,3,Potato,702.51,826.51,-1.26
2023,4,Potato,721.96,860.7,2.77
2023,5,Potato,687.01,724.28,-4.84
2023,6,Potato,699.43,699.37,1.81
2023,7,Potato,735.83,700.13,5.21
2023,8,Potato,759.15,679.81,3.17
2023,9,Potato,829.26,795.43,9.24
2023,10,Potato,864.3,976.64,4.23
2023,11,Potato,932.42,868.77,7.88
2023,12,Potato,1006.6,957.02,7.96
2024,1,Potato,1079.93,1275.75,7.28
2024,2,Potato,1013.58,976.02,-6.14
2024,3,Potato,1033.98,1103.04,2.01
2024,4,Potato,1083.56,1031.09,4.8
2024,5,Potato,1109.55,893.0,2.4
2024,6,Potato,1212.29,1355.74,9.26
2024,7,Potato,1261.99,1199.77,4.1
2024,8,Potato,1142.6,998.62,-9.46
2024,9,Potato,1157.01,1274.73,1.26
2024,10,Potato,1219.48,1277.21,5.4
2024,11,Potato,1212.13,996.12,-0.6
2024,12,Potato,1093.01,1002.24,-9.83
2013,1,Onion,1400.84,1127.44,8.76
2013,2,Onion,1365.07,1314.77,-2.55
2013,3,Onion,1500.4,1548.23,9.91
2013,4,Onion,1550.88,1524.32,3.36
2013,5,Onion,1538.25,1330.18,-0.81
2013,6,Onion,1687.34,1928.5,9.69
2013,7,Onion,1574.42,1826.57,-6.69
2013,8,Onion,1649.3,1560.22,4.76
2013,9,Onion,1541.28,1651.34,-6.55
2013,10,Onion,1681.99,1839.3,9.13
2013,11,Onion,1641.69,1703.17,-2.4
2013,12,Onion,1651.94,1685.86,0.62
2014,1,Onion,1773.26,2017.44,7.34
2014,2,Onion,1888.63,1999.93,6.51
2014,3,Onion,1999.4,2008.56,5.86
2014,4,Onion,1909.6,1985.3,-4.49
2014,5,Onion,2020.24,2296.98,5.79
2014,6,Onion,1998.31,2384.43,-1.09
2014,7,Onion,1836.57,1476.78,-8.09
2014,8,Onion,1760.74,2078.87,-4.13
2014,9,Onion,1751.41,1962.19,-0.53
2014,10,Onion,1766.47,1439.43,0.86
2014,11,Onion,1771.64,1424.74,0.29
2014,12,Onion,1816.73,1473.37,2.54
2015,1,Onion,1998.31,1682.13,9.99
2015,2,Onion,2072.53,1949.64,3.71
2015,3,Onion,1871.48,1813.23,-9.7
2015,4,Onion,1712.57,1962.9,-8.49
2015,5,Onion,1547.18,1591.64,-9.66
2015,6,Onion,1435.43,1187.21,-7.22
2015,7,Onion,1521.12,1818.62,5.97
2015,8,Onion,1608.48,1922.08,5.74
2015,9,Onion,1568.23,1683.81,-2.5
2015,10,Onion,1639.72,1631.9,4.56
2015,11,Onion,1740.88,1437.34,6.17
2015,12,Onion,1644.59,1693.11,-5.53
2016,1,Onion,1587.13,1644.89,-3.49
2016,2,Onion,1463.6,1285.72,-7.78
2016,3,Onion,1467.7,1754.06,0.28
2016,4,Onion,1342.28,1140.69,-8.55
2016,5,Onion,1453.84,1727.68,8.31
2016,6,Onion,1335.6,1498.15,-8.13
2016,7,Onion,1374.3,1631.7,2.9
2016,8,Onion,1348.65,1361.92,-1.87
2016,9,Onion,1429.1,1532.63,5.97
2016,10,Onion,1397.28,1389.81,-2.23
2016,11,Onion,1485.2,1386.31,6.29
2016,12,Onion,1416.67,1338.0,-4.61
2017,1,Onion,1290.86,1296.75,-8.88
2017,2,Onion,1413.32,1142.14,9.49
2017,3,Onion,1297.73,1218.17,-8.18
2017,4,Onion,1351.62,1532.51,4.15
2017,5,Onion,1311.93,1530.71,-2.94
2017,6,Onion,1388.48,1172.65,5.83
2017,7,Onion,1383.52,1311.55,-0.36
2017,8,Onion,1466.3,1615.98,5.98
2017,9,Onion,1442.98,1351.43,-1.59
2017,10,Onion,1574.92,1550.03,9.14
2017,11,Onion,1633.62,1680.61,3.73
2017,12,Onion,1660.91,1369.42,1.67
2018,1,Onion,1763.39,1435.71,6.17
2018,2,Onion,1850.5,1806.9,4.94
2018,3,Onion,1756.51,1760.88,-5.08
2018,4,Onion,1800.51,1619.83,2.5
2018,5,Onion,1838.0,1713.06,2.08
2018,6,Onion,1792.48,1913.84,-2.48
2018,7,Onion,1781.56,1668.02,-0.61
2018,8,Onion,1739.71,1460.13,-2.35
2018,9,Onion,1856.18,1659.74,6.7
2018,10,Onion,1828.2,1875.27,-1.51
2018,11,Onion,1737.61,1876.91,-4.95
2018,12,Onion,1613.17,1786.16,-7.16
2019,1,Onion,1561.73,1354.82,-3.19
2019,2,Onion,1470.82,1536.42,-5.82
2019,3,Onion,1424.4,1586.44,-3.16
2019,4,Onion,1498.39,1319.04,5.19
2019,5,Onion,1360.9,1415.81,-9.18
2019,6,Onion,1328.96,1458.99,-2.35
2019,7,Onion,1396.8,1138.69,5.11
2019,8,Onion,1388.22,1272.26,-0.61
2019,9,Onion,1506.35,1770.01,8.51
2019,10,Onion,1572.26,1425.26,4.38
2019,11,Onion,1460.01,1651.93,-7.14
2019,12,Onion,1551.83,1269.0,6.29
2020,1,Onion,1646.53,1712.74,6.1
2020,2,Onion,1589.31,1720.12,-3.48
2020,3,Onion,1441.96,1613.17,-9.27
2020,4,Onion,1475.13,1666.27,2.3
2020,5,Onion,1526.29,1229.04,3.47
2020,6,Onion,1566.89,1450.45,2.66
2020,7,Onion,1673.75,1485.79,6.82
2020,8,Onion,1622.32,1528.49,-3.07
2020,9,Onion,1649.26,1392.17,1.66
2020,10,Onion,1526.89,1679.53,-7.42
2020,11,Onion,1570.16,1826.13,2.83
2020,12,Onion,1587.5,1676.95,1.1
2021,1,Onion,1585.76,1464.74,-0.11
2021,2,Onion,1622.72,1308.37,2.33
2021,3,Onion,1683.56,1677.93,3.75
2021,4,Onion,1534.45,1750.52,-8.86
2021,5,Onion,1658.54,1563.98,8.09
2021,6,Onion,1551.01,1503.54,-6.48
2021,7,Onion,1590.81,1363.37,2.57
2021,8,Onion,1479.77,1542.7,-6.98
2021,9,Onion,1520.47,1556.45,2.75
2021,10,Onion,1499.88,1567.35,-1.35
2021,11,Onion,1429.34,1485.69,-4.7
2021,12,Onion,1569.6,1803.63,9.81
2022,1,Onion,1567.8,1351.68,-0.12
2022,2,Onion,1561.79,1751.23,-0.38
2022,3,Onion,1433.22,1263.22,-8.23
2022,4,Onion,1484.49,1743.34,3.58
2022,5,Onion,1349.07,1450.54,-9.12
2022,6,Onion,1365.37,1281.91,1.21
2022,7,Onion,1422.71,1169.04,4.2
2022,8,Onion,1487.38,1776.67,4.55
2022,9,Onion,1502.59,1569.13,1.02
2022,10,Onion,1376.92,1227.48,-8.36
2022,11,Onion,1293.35,1539.65,-6.07
2022,12,Onion,1332.57,1420.22,3.03
2023,1,Onion,1400.85,1380.55,5.12
2023,2,Onion,1420.86,1416.57,1.43
2023,3,Onion,1397.8,1198.21,-1.62
2023,4,Onion,1500.66,1594.48,7.36
2023,5,Onion,1492.64,1244.35,-0.53
2023,6,Onion,1582.98,1389.86,6.05
2023,7,Onion,1437.71,1456.69,-9.18
2023,8,Onion,1413.7,1147.89,-1.67
2023,9,Onion,1519.41,1619.21,7.48
2023,10,Onion,1427.22,1408.0,-6.07
2023,11,Onion,1391.21,1602.91,-2.52
2023,12,Onion,1471.62,1447.73,5.78
2024,1,Onion,1561.48,1770.63,6.11
2024,2,Onion,1708.75,1687.6,9.43
2024,3,Onion,1783.86,1443.0,4.4
2024,4,Onion,1735.51,1920.46,-2.71
2024,5,Onion,1654.31,1673.09,-4.68
2024,6,Onion,1671.79,1348.92,1.06
2024,7,Onion,1718.51,2059.92,2.79
2024,8,Onion,1776.34,1993.5,3.36
2024,9,Onion,1871.4,2100.17,5.35
2024,10,Onion,1830.51,1548.31,-2.18
2024,11,Onion,1884.06,1718.63,2.93
2024,12,Onion,1907.78,1962.66,1.26
2013,1,Carrot,1319.96,1468.75,5.09
2013,2,Carrot,1232.51,1132.69,-6.63
2013,3,Carrot,1338.13,1171.68,8.57
2013,4,Carrot,1459.55,1268.71,9.07
2013,5,Carrot,1545.99,1308.78,5.92
2013,6,Carrot,1448.73,1304.5,-6.29
2013,7,Carrot,1555.22,1597.21,7.35
2013,8,Carrot,1476.69,1201.12,-5.05
2013,9,Carrot,1623.2,1678.06,9.92
2013,10,Carrot,1757.5,1588.58,8.27
2013,11,Carrot,1869.83,2163.58,6.39
2013,12,Carrot,1942.03,2019.96,3.86
2014,1,Carrot,1890.15,2123.68,-2.67
2014,2,Carrot,1718.54,1955.36,-9.08
2014,3,Carrot,1685.1,1943.68,-1.95
2014,4,Carrot,1600.84,1628.72,-5.0
2014,5,Carrot,1688.71,1938.38,5.49
2014,6,Carrot,1816.84,1792.37,7.59
2014,7,Carrot,1786.76,2006.99,-1.66
2014,8,Carrot,1644.32,1827.68,-7.97
2014,9,Carrot,1764.85,1413.1,7.33
2014,10,Carrot,1747.82,1449.07,-0.97
2014,11,Carrot,1607.96,1334.97,-8.0
2014,12,Carrot,1699.87,1503.65,5.72
2015,1,Carrot,1644.02,1896.12,-3.29
2015,2,Carrot,1720.7,2064.8,4.66
2015,3,Carrot,1702.1,1702.03,-1.08
2015,4,Carrot,1602.52,1599.04,-5.85
2015,5,Carrot,1471.73,1721.28,-8.16
2015,6,Carrot,1589.66,1901.91,8.01
2015,7,Carrot,1692.57,1574.22,6.47
2015,8,Carrot,1586.95,1669.36,-6.24
2015,9,Carrot,1598.83,1660.34,0.75
2015,10,Carrot,1600.18,1709.51,0.08
2015,11,Carrot,1484.55,1649.68,-7.23
2015,12,Carrot,1403.69,1519.78,-5.45
2016,1,Carrot,1310.45,1367.67,-6.64
2016,2,Carrot,1418.62,1507.72,8.25
2016,3,Carrot,1528.86,1359.06,7.77
2016,4,Carrot,1498.43,1278.05,-1.99
2016,5,Carrot,1374.6,1515.12,-8.26
2016,6,Carrot,1266.72,1223.58,-7.85
2016,7,Carrot,1163.41,1201.39,-8.16
2016,8,Carrot,1163.19,1038.13,-0.02
2016,9,Carrot,1215.52,1445.73,4.5
2016,10,Carrot,1159.12,1295.2,-4.64
2016,11,Carrot,1145.68,1179.27,-1.16
2016,12,Carrot,1095.53,1038.61,-4.38
2017,1,Carrot,1029.11,1153.53,-6.06
2017,2,Carrot,969.05,838.01,-5.84
2017,3,Carrot,973.18,955.25,0.43
2017,4,Carrot,1063.97,958.6,9.33
2017,5,Carrot,1088.77,1191.79,2.33
2017,6,Carrot,1184.57,1303.88,8.8
2017,7,Carrot,1087.0,1081.49,-8.24
2017,8,Carrot,1153.52,1357.41,6.12
2017,9,Carrot,1145.21,930.39,-0.72
2017,10,Carrot,1082.37,911.29,-5.49
2017,11,Carrot,1071.31,929.77,-1.02
2017,12,Carrot,1070.69,1253.01,-0.06
2018,1,Carrot,982.74,801.82,-8.21
2018,2,Carrot,912.26,940.54,-7.17
2018,3,Carrot,923.65,833.59,1.25
2018,4,Carrot,838.3,751.82,-9.24
2018,5,Carrot,796.16,840.06,-5.03
2018,6,Carrot,850.36,803.5,6.81
2018,7,Carrot,852.4,941.82,0.24
2018,8,Carrot,790.2,783.8,-7.3
2018,9,Carrot,775.59,855.63,-1.85
2018,10,Carrot,748.43,610.59,-3.5
2018,11,Carrot,755.87,655.56,0.99
2018,12,Carrot,788.08,721.61,4.26
2019,1,Carrot,795.98,825.59,1.0
2019,2,Carrot,822.53,940.92,3.34
2019,3,Carrot,783.71,869.17,-4.72
2019,4,Carrot,774.3,802.57,-1.2
2019,5,Carrot,721.02,631.04,-6.88
2019,6,Carrot,724.41,812.78,0.47
2019,7,Carrot,694.86,561.22,-4.08
2019,8,Carrot,647.39,600.19,-6.83
2019,9,Carrot,601.13,517.5,-7.15
2019,10,Carrot,541.63,624.36,-9.9
2019,11,Carrot,507.41,483.93,-6.32
2019,12,Carrot,513.73,415.29,1.24
2020,1,Carrot,467.32,420.67,-9.03
2020,2,Carrot,428.93,393.34,-8.21
2020,3,Carrot,438.14,414.41,2.15
2020,4,Carrot,480.61,527.06,9.69
2020,5,Carrot,495.38,458.25,3.07
2020,6,Carrot,447.33,382.25,-9.7
2020,7,Carrot,466.96,452.67,4.39
2020,8,Carrot,430.87,467.98,-7.73
2020,9,Carrot,406.31,457.85,-5.7
2020,10,Carrot,374.93,423.1,-7.72
2020,11,Carrot,368.78,320.23,-1.64
2020,12,Carrot,405.4,411.15,9.93
2021,1,Carrot,424.45,432.73,4.7
2021,2,Carrot,444.77,415.01,4.79
2021,3,Carrot,425.52,454.19,-4.33
2021,4,Carrot,388.97,432.28,-8.59
2021,5,Carrot,381.9,329.21,-1.82
2021,6,Carrot,363.02,372.27,-4.94
2021,7,Carrot,364.46,357.49,0.4
2021,8,Carrot,349.87,319.05,-4.0
2021,9,Carrot,345.79,354.27,-1.17
2021,10,Carrot,338.68,302.59,-2.06
2021,11,Carrot,330.34,278.4,-2.46
2021,12,Carrot,299.79,350.72,-9.25
2022,1,Carrot,322.95,286.83,7.73
2022,2,Carrot,340.07,336.94,5.3
2022,3,Carrot,366.06,370.01,7.64
2022,4,Carrot,399.18,473.23,9.05
2022,5,Carrot,409.34,447.67,2.54
2022,6,Carrot,440.41,445.06,7.59
2022,7,Carrot,484.18,401.95,9.94
2022,8,Carrot,513.61,524.31,6.08
2022,9,Carrot,467.81,522.27,-8.92
2022,10,Carrot,476.74,556.66,1.91
2022,11,Carrot,469.35,519.27,-1.55
2022,12,Carrot,433.08,478.95,-7.73
2023,1,Carrot,392.84,387.92,-9.29
2023,2,Carrot,402.41,389.89,2.44
2023,3,Carrot,384.82,317.41,-4.37
2023,4,Carrot,347.96,346.74,-9.58
2023,5,Carrot,329.96,375.6,-5.17
2023,6,Carrot,321.99,367.1,-2.42
2023,7,Carrot,318.06,304.68,-1.22
2023,8,Carrot,290.78,237.83,-8.58
2023,9,Carrot,311.35,351.06,7.07
2023,10,Carrot,319.37,368.34,2.58
2023,11,Carrot,297.98,293.09,-6.7
2023,12,Carrot,301.45,286.69,1.16
2024,1,Carrot,296.61,351.31,-1.61
2024,2,Carrot,301.43,267.52,1.63
2024,3,Carrot,306.55,263.92,1.7
2024,4,Carrot,291.98,295.02,-4.75
2024,5,Carrot,282.32,277.48,-3.31
2024,6,Carrot,258.13,211.38,-8.57
2024,7,Carrot,259.99,225.72,0.72
2024,8,Carrot,264.52,227.34,1.74
2024,9,Carrot,269.59,237.31,1.92
2024,10,Carrot,286.52,303.89,6.28
2024,11,Carrot,276.35,319.12,-3.55
2024,12,Carrot,254.3,279.22,-7.98
2013,1,Cabbage,916.1,981.67,8.41
2013,2,Cabbage,857.56,1015.99,-6.39
2013,3,Cabbage,788.2,637.74,-8.09
2013,4,Cabbage,767.26,821.8,-2.66
2013,5,Cabbage,743.96,686.85,-3.04
2013,6,Cabbage,685.86,803.29,-7.81
2013,7,Cabbage,665.55,791.41,-2.96
2013,8,Cabbage,711.76,629.5,6.94
2013,9,Cabbage,754.29,813.49,5.98
2013,10,Cabbage,729.38,830.77,-3.3
2013,11,Cabbage,790.71,845.95,8.41
2013,12,Cabbage,821.59,873.36,3.9
2014,1,Cabbage,889.65,908.66,8.28
2014,2,Cabbage,953.02,814.53,7.12
2014,3,Cabbage,947.58,1134.11,-0.57
2014,4,Cabbage,993.83,996.59,4.88
2014,5,Cabbage,1041.73,926.01,4.82
2014,6,Cabbage,1092.25,875.83,4.85
2014,7,Cabbage,1067.72,1217.63,-2.25
2014,8,Cabbage,1108.58,1043.26,3.83
2014,9,Cabbage,1204.07,1299.39,8.61
2014,10,Cabbage,1205.65,1083.93,0.13
2014,11,Cabbage,1131.66,1268.56,-6.14
2014,12,Cabbage,1101.74,980.24,-2.64
2015,1,Cabbage,1208.44,1314.98,9.69
2015,2,Cabbage,1227.44,1048.93,1.57
2015,3,Cabbage,1135.02,1088.47,-7.53
2015,4,Cabbage,1154.87,931.64,1.75
2015,5,Cabbage,1217.01,1046.37,5.38
2015,6,Cabbage,1247.42,1492.88,2.5
2015,7,Cabbage,1227.49,983.33,-1.6
2015,8,Cabbage,1113.36,1304.24,-9.3
2015,9,Cabbage,1185.43,1158.11,6.47
